frame,timestamp,person_id,x,y,z
-1,2025/11/28-20:22:7:183,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:7:183,Amelia,-2187.061086,-924.859071,10.0
-1,2025/11/28-20:22:7:183,ZakariYoung,-2081.290633,-826.286233,12.0
-1,2025/11/28-20:22:7:183,Keiji,-2426.658917,-435.362008,10.0
-1,2025/11/28-20:22:7:340,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:7:340,Amelia,-2197.276217,-926.478272,10.0
-1,2025/11/28-20:22:7:340,ZakariYoung,-2095.010975,-829.812864,12.0
-1,2025/11/28-20:22:7:340,Keiji,-2427.615532,-431.82253,10.0
-1,2025/11/28-20:22:7:352,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:7:352,Amelia,-2198.050792,-926.557489,10.0
-1,2025/11/28-20:22:7:352,ZakariYoung,-2096.008418,-829.992878,12.0
-1,2025/11/28-20:22:7:352,Keiji,-2427.683468,-431.571168,10.0
-1,2025/11/28-20:22:7:380,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:7:380,Amelia,-2199.926173,-926.722701,10.0
-1,2025/11/28-20:22:7:380,ZakariYoung,-2098.394689,-830.370652,12.0
-1,2025/11/28-20:22:7:380,Keiji,-2427.844804,-430.974226,10.0
-1,2025/11/28-20:22:7:461,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:7:461,Amelia,-2205.363845,-926.98507,10.0
-1,2025/11/28-20:22:7:461,ZakariYoung,-2105.068059,-830.971365,12.0
-1,2025/11/28-20:22:7:461,Keiji,-2428.285412,-429.343975,10.0
-1,2025/11/28-20:22:7:748,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:7:748,Amelia,-2223.223252,-926.400447,10.0
-1,2025/11/28-20:22:7:748,ZakariYoung,-2127.137997,-830.868797,12.0
-1,2025/11/28-20:22:7:748,Keiji,-2429.505675,-424.829003,10.0
-1,2025/11/28-20:22:7:894,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:7:894,Amelia,-2231.040424,-925.605959,10.0
-1,2025/11/28-20:22:7:894,ZakariYoung,-2137.704957,-830.693674,12.0
-1,2025/11/28-20:22:7:894,Keiji,-2429.862955,-423.507068,10.0
-1,2025/11/28-20:22:7:905,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:7:905,Amelia,-2231.607634,-925.533863,10.0
-1,2025/11/28-20:22:7:905,ZakariYoung,-2138.492397,-830.677653,12.0
-1,2025/11/28-20:22:7:905,Keiji,-2429.881468,-423.438567,10.0
-1,2025/11/28-20:22:7:934,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:7:934,Amelia,-2233.06664,-925.339245,10.0
-1,2025/11/28-20:22:7:934,ZakariYoung,-2140.52968,-830.6343,12.0
-1,2025/11/28-20:22:7:934,Keiji,-2429.923526,-423.282953,10.0
-1,2025/11/28-20:22:8:19,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:8:19,Amelia,-2237.305956,-924.699002,10.0
-1,2025/11/28-20:22:8:19,ZakariYoung,-2146.536883,-830.490609,12.0
-1,2025/11/28-20:22:8:19,Keiji,-2429.994968,-423.018618,10.0
-1,2025/11/28-20:22:8:336,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:8:336,Amelia,-2251.537172,-921.822678,10.0
-1,2025/11/28-20:22:8:336,ZakariYoung,-2167.195599,-829.825355,12.0
-1,2025/11/28-20:22:8:336,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:8:482,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:8:482,Amelia,-2258.813419,-920.064714,10.0
-1,2025/11/28-20:22:8:482,ZakariYoung,-2177.595175,-829.402447,12.0
-1,2025/11/28-20:22:8:482,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:8:499,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:8:499,Amelia,-2259.605187,-919.868616,10.0
-1,2025/11/28-20:22:8:499,ZakariYoung,-2178.704006,-829.354455,12.0
-1,2025/11/28-20:22:8:499,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:8:521,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:8:521,Amelia,-2260.698101,-919.597328,10.0
-1,2025/11/28-20:22:8:521,ZakariYoung,-2180.225523,-829.287781,12.0
-1,2025/11/28-20:22:8:521,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:8:609,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:8:609,Amelia,-2264.976679,-918.534938,10.0
-1,2025/11/28-20:22:8:609,ZakariYoung,-2186.071371,-829.023421,12.0
-1,2025/11/28-20:22:8:609,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:8:692,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:8:692,Amelia,-2269.477786,-917.432184,10.0
-1,2025/11/28-20:22:8:692,ZakariYoung,-2192.011649,-828.743206,12.0
-1,2025/11/28-20:22:8:692,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:8:975,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:8:975,Amelia,-2285.583388,-913.245927,10.0
-1,2025/11/28-20:22:8:975,ZakariYoung,-2211.577739,-827.775608,12.0
-1,2025/11/28-20:22:8:975,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:9:113,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:9:113,Amelia,-2294.61653,-908.673062,10.0
-1,2025/11/28-20:22:9:113,ZakariYoung,-2221.927427,-827.266315,12.0
-1,2025/11/28-20:22:9:113,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:9:124,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:9:124,Amelia,-2295.409485,-908.194395,10.0
-1,2025/11/28-20:22:9:124,ZakariYoung,-2222.799735,-827.22238,12.0
-1,2025/11/28-20:22:9:124,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:9:151,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:9:151,Amelia,-2297.232835,-907.055333,10.0
-1,2025/11/28-20:22:9:151,ZakariYoung,-2224.775843,-827.12173,12.0
-1,2025/11/28-20:22:9:151,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:9:239,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:9:239,Amelia,-2303.248274,-902.96994,10.0
-1,2025/11/28-20:22:9:239,ZakariYoung,-2230.95107,-826.792808,12.0
-1,2025/11/28-20:22:9:239,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:9:535,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:9:535,Amelia,-2324.140981,-886.478556,10.0
-1,2025/11/28-20:22:9:535,ZakariYoung,-2246.456554,-825.569988,12.0
-1,2025/11/28-20:22:9:535,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:9:690,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:9:690,Amelia,-2335.079534,-877.479738,10.0
-1,2025/11/28-20:22:9:690,ZakariYoung,-2250.995318,-824.335017,12.0
